Period,Year,Month,Item,Category,Archetype,Site,Region,Climate,Demand,Actual_Issue,Lost_Sales,Returns,Promo_Flag,Unit_Price
2021-01,2021,1,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,602,602,0,5,0,93.19
2021-02,2021,2,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,554,554,0,2,0,93.19
2021-03,2021,3,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,649,649,0,6,0,93.19
2021-04,2021,4,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,662,662,0,4,0,93.19
2021-05,2021,5,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,522,522,0,5,0,93.19
2021-06,2021,6,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,541,541,0,6,0,93.19
2021-07,2021,7,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,594,581,13,6,0,93.19
2021-08,2021,8,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,558,558,0,2,0,93.19
2021-09,2021,9,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,562,562,0,8,0,93.19
2021-10,2021,10,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,518,517,1,3,0,93.19
2021-11,2021,11,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,640,640,0,2,0,93.19
2021-12,2021,12,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,640,640,0,6,0,93.19
2022-01,2022,1,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,591,587,4,4,0,93.19
2022-02,2022,2,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,656,656,0,8,0,93.19
2022-03,2022,3,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,635,635,0,7,0,93.19
2022-04,2022,4,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,577,577,0,4,0,93.19
2022-05,2022,5,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,666,666,0,10,0,93.19
2022-06,2022,6,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,558,558,0,3,0,93.19
2022-07,2022,7,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,629,629,0,5,0,93.19
2022-08,2022,8,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,571,571,0,3,0,93.19
2022-09,2022,9,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,554,541,13,8,0,93.19
2022-10,2022,10,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,527,527,0,2,0,93.19
2022-11,2022,11,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,657,636,21,2,0,93.19
2022-12,2022,12,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,594,594,0,5,0,93.19
2023-01,2023,1,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,568,568,0,11,0,93.19
2023-02,2023,2,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,586,579,7,8,0,93.19
2023-03,2023,3,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,674,660,14,7,0,93.19
2023-04,2023,4,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,635,635,0,8,0,93.19
2023-05,2023,5,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,633,628,5,8,0,93.19
2023-06,2023,6,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,623,623,0,5,0,93.19
2023-07,2023,7,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,720,720,0,5,0,93.19
2023-08,2023,8,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,554,554,0,6,0,93.19
2023-09,2023,9,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,538,538,0,5,0,93.19
2023-10,2023,10,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,520,501,19,3,0,93.19
2023-11,2023,11,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,627,627,0,2,0,93.19
2023-12,2023,12,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,658,658,0,7,0,93.19
2024-01,2024,1,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,583,583,0,3,0,93.19
2024-02,2024,2,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,591,577,14,8,0,93.19
2024-03,2024,3,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,575,575,0,3,0,93.19
2024-04,2024,4,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,648,648,0,3,0,93.19
2024-05,2024,5,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,648,648,0,8,0,93.19
2024-06,2024,6,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,628,628,0,3,0,93.19
2024-07,2024,7,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,557,557,0,3,0,93.19
2024-08,2024,8,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,584,584,0,5,0,93.19
2024-09,2024,9,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,599,599,0,8,0,93.19
2024-10,2024,10,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,569,569,0,3,0,93.19
2024-11,2024,11,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,640,640,0,4,0,93.19
2024-12,2024,12,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,613,591,22,7,0,93.19
2025-01,2025,1,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,651,651,0,10,0,93.19
2025-02,2025,2,Brake Pads Set,Brakes,stable,Detroit Central,Midwest,cold,606,606,0,5,0,93.19
2021-01,2021,1,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,474,468,6,14,0,402.09
2021-02,2021,2,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,526,526,0,7,0,402.09
2021-03,2021,3,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,485,485,0,6,0,402.09
2021-04,2021,4,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,509,509,0,6,0,402.09
2021-05,2021,5,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,406,406,0,9,0,402.09
2021-06,2021,6,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,472,472,0,9,0,402.09
2021-07,2021,7,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,431,431,0,11,0,402.09
2021-08,2021,8,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,405,405,0,9,0,402.09
2021-09,2021,9,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,410,410,0,7,0,402.09
2021-10,2021,10,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,427,427,0,12,0,402.09
2021-11,2021,11,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,504,504,0,12,0,402.09
2021-12,2021,12,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,421,421,0,7,0,402.09
2022-01,2022,1,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,463,463,0,8,0,402.09
2022-02,2022,2,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,456,456,0,8,0,402.09
2022-03,2022,3,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,470,470,0,6,0,402.09
2022-04,2022,4,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,522,522,0,7,0,402.09
2022-05,2022,5,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,529,529,0,16,0,402.09
2022-06,2022,6,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,523,523,0,10,0,402.09
2022-07,2022,7,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,456,456,0,8,0,402.09
2022-08,2022,8,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,425,425,0,10,0,402.09
2022-09,2022,9,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,434,434,0,9,0,402.09
2022-10,2022,10,Brake Pads Set,Brakes,stable,Atlanta South,Southeast,hot,448,448,0,14,0,402.09
